microservice, begin request time, end request time, client ip, client port, function, microservice instance
aggr-ms, 2018-05-27 15:11:24.548000, 2018-05-27 15:11:26.101000, 172.18.0.1, 53856, GET -> aggr-ms/playlists/songs/1, 862bbb69f6ff:5004
playlists-ms, 2018-05-27 15:11:24.678000, 2018-05-27 15:11:24.796000, 172.18.0.9, 49668, GET -> playlists-ms/playlists/songs/1, 3dd388ad0c98:5002
songs-ms, 2018-05-27 15:11:25.011000, 2018-05-27 15:11:25.073000, 172.18.0.9, 49676, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:11:25.017000, 2018-05-27 15:11:25.136000, 172.18.0.9, 49680, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:11:25.020000, 2018-05-27 15:11:25.115000, 172.18.0.9, 49684, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:11:25.057000, 2018-05-27 15:11:25.292000, 172.18.0.9, 49694, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:11:25.071000, 2018-05-27 15:11:25.314000, 172.18.0.9, 49700, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:11:25.072000, 2018-05-27 15:11:25.363000, 172.18.0.9, 49704, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:11:25.072000, 2018-05-27 15:11:25.400000, 172.18.0.9, 49702, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:11:25.079000, 2018-05-27 15:11:25.365000, 172.18.0.9, 49706, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:11:25.086000, 2018-05-27 15:11:25.427000, 172.18.0.9, 49722, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:11:25.090000, 2018-05-27 15:11:25.608000, 172.18.0.9, 49712, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:11:25.096000, 2018-05-27 15:11:25.399000, 172.18.0.9, 49724, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:11:25.099000, 2018-05-27 15:11:25.361000, 172.18.0.9, 49720, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:11:25.105000, 2018-05-27 15:11:25.804000, 172.18.0.9, 49718, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:11:25.109000, 2018-05-27 15:11:25.489000, 172.18.0.9, 49726, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:11:25.143000, 2018-05-27 15:11:25.498000, 172.18.0.9, 49730, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:11:25.159000, 2018-05-27 15:11:25.628000, 172.18.0.9, 49732, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:11:25.164000, 2018-05-27 15:11:25.616000, 172.18.0.9, 49754, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:11:25.175000, 2018-05-27 15:11:25.427000, 172.18.0.9, 49758, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:11:25.176000, 2018-05-27 15:11:25.637000, 172.18.0.9, 49762, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:11:25.202000, 2018-05-27 15:11:25.414000, 172.18.0.9, 49786, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:11:25.203000, 2018-05-27 15:11:25.685000, 172.18.0.9, 49782, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:11:25.217000, 2018-05-27 15:11:25.565000, 172.18.0.9, 49790, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:11:25.219000, 2018-05-27 15:11:25.594000, 172.18.0.9, 49798, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:11:25.222000, 2018-05-27 15:11:25.610000, 172.18.0.9, 49794, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:11:25.177000, 2018-05-27 15:11:25.696000, 172.18.0.9, 49766, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:11:25.232000, 2018-05-27 15:11:25.530000, 172.18.0.9, 49770, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:11:25.246000, 2018-05-27 15:11:25.542000, 172.18.0.9, 49774, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:11:25.255000, 2018-05-27 15:11:25.683000, 172.18.0.9, 49778, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:11:25.260000, 2018-05-27 15:11:25.721000, 172.18.0.9, 49802, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:11:25.263000, 2018-05-27 15:11:25.530000, 172.18.0.9, 49800, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:11:25.264000, 2018-05-27 15:11:25.562000, 172.18.0.9, 49796, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:11:25.267000, 2018-05-27 15:11:25.695000, 172.18.0.9, 49776, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:11:25.271000, 2018-05-27 15:11:25.820000, 172.18.0.9, 49788, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:11:25.274000, 2018-05-27 15:11:25.886000, 172.18.0.9, 49792, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:11:25.289000, 2018-05-27 15:11:25.728000, 172.18.0.9, 49872, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:11:25.290000, 2018-05-27 15:11:25.881000, 172.18.0.9, 49844, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:11:25.294000, 2018-05-27 15:11:25.739000, 172.18.0.9, 49772, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:11:25.298000, 2018-05-27 15:11:25.853000, 172.18.0.9, 49780, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:11:25.315000, 2018-05-27 15:11:25.799000, 172.18.0.9, 49856, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:11:25.316000, 2018-05-27 15:11:25.858000, 172.18.0.9, 49822, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:11:25.319000, 2018-05-27 15:11:25.827000, 172.18.0.9, 49860, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:11:25.329000, 2018-05-27 15:11:25.829000, 172.18.0.9, 49818, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:11:25.329000, 2018-05-27 15:11:25.761000, 172.18.0.9, 49784, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:11:25.340000, 2018-05-27 15:11:25.831000, 172.18.0.9, 49868, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:11:25.343000, 2018-05-27 15:11:25.785000, 172.18.0.9, 49888, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:11:25.348000, 2018-05-27 15:11:25.818000, 172.18.0.9, 49836, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:11:25.349000, 2018-05-27 15:11:25.944000, 172.18.0.9, 49864, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:11:25.360000, 2018-05-27 15:11:25.879000, 172.18.0.9, 49808, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:11:25.365000, 2018-05-27 15:11:25.780000, 172.18.0.9, 49830, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:11:25.372000, 2018-05-27 15:11:25.779000, 172.18.0.9, 49816, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:11:25.400000, 2018-05-27 15:11:25.960000, 172.18.0.9, 49892, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:11:25.415000, 2018-05-27 15:11:25.914000, 172.18.0.9, 49820, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:11:25.416000, 2018-05-27 15:11:25.927000, 172.18.0.9, 49828, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:11:25.417000, 2018-05-27 15:11:25.976000, 172.18.0.9, 49884, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:11:25.407000, 2018-05-27 15:11:25.933000, 172.18.0.9, 49862, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:11:25.418000, 2018-05-27 15:11:25.974000, 172.18.0.9, 49826, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:11:25.419000, 2018-05-27 15:11:25.962000, 172.18.0.9, 49846, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:11:25.432000, 2018-05-27 15:11:25.998000, 172.18.0.9, 49852, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:11:25.431000, 2018-05-27 15:11:25.967000, 172.18.0.9, 49866, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:11:25.432000, 2018-05-27 15:11:25.956000, 172.18.0.9, 49804, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:11:25.432000, 2018-05-27 15:11:25.979000, 172.18.0.9, 49840, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:11:25.432000, 2018-05-27 15:11:25.969000, 172.18.0.9, 49886, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:11:25.434000, 2018-05-27 15:11:25.962000, 172.18.0.9, 49832, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:11:25.435000, 2018-05-27 15:11:25.960000, 172.18.0.9, 49806, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:11:25.436000, 2018-05-27 15:11:25.962000, 172.18.0.9, 49880, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:11:25.437000, 2018-05-27 15:11:25.964000, 172.18.0.9, 49810, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:11:25.439000, 2018-05-27 15:11:25.949000, 172.18.0.9, 49848, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:11:25.443000, 2018-05-27 15:11:25.964000, 172.18.0.9, 49876, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:11:25.468000, 2018-05-27 15:11:25.987000, 172.18.0.9, 49834, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:11:25.477000, 2018-05-27 15:11:25.952000, 172.18.0.9, 49858, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:11:25.500000, 2018-05-27 15:11:25.970000, 172.18.0.9, 49838, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:11:25.501000, 2018-05-27 15:11:25.941000, 172.18.0.9, 49882, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:11:25.503000, 2018-05-27 15:11:25.987000, 172.18.0.9, 49842, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:11:25.540000, 2018-05-27 15:11:25.887000, 172.18.0.9, 49894, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:11:25.541000, 2018-05-27 15:11:25.998000, 172.18.0.9, 49878, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:11:25.542000, 2018-05-27 15:11:25.998000, 172.18.0.9, 49874, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:11:25.543000, 2018-05-27 15:11:25.928000, 172.18.0.9, 49870, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:11:25.543000, 2018-05-27 15:11:25.964000, 172.18.0.9, 49890, GET -> songs-ms/songs, 598b9f73b150:5001
aggr-ms, 2018-05-27 15:12:15.109000, 2018-05-27 15:12:16.361000, 172.18.0.1, 54540, GET -> aggr-ms/playlists/songs/1, 862bbb69f6ff:5004
playlists-ms, 2018-05-27 15:12:15.118000, 2018-05-27 15:12:15.137000, 172.18.0.9, 50352, GET -> playlists-ms/playlists/songs/1, 3dd388ad0c98:5002
songs-ms, 2018-05-27 15:12:15.214000, 2018-05-27 15:12:15.252000, 172.18.0.9, 50360, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.214000, 2018-05-27 15:12:15.285000, 172.18.0.9, 50364, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.214000, 2018-05-27 15:12:15.236000, 172.18.0.9, 50362, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.226000, 2018-05-27 15:12:15.306000, 172.18.0.9, 50382, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.228000, 2018-05-27 15:12:15.482000, 172.18.0.9, 50376, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.232000, 2018-05-27 15:12:15.349000, 172.18.0.9, 50384, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.234000, 2018-05-27 15:12:15.328000, 172.18.0.9, 50378, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.245000, 2018-05-27 15:12:15.487000, 172.18.0.9, 50398, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.247000, 2018-05-27 15:12:15.662000, 172.18.0.9, 50400, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.250000, 2018-05-27 15:12:15.855000, 172.18.0.9, 50402, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.252000, 2018-05-27 15:12:15.400000, 172.18.0.9, 50404, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.257000, 2018-05-27 15:12:15.796000, 172.18.0.9, 50406, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.258000, 2018-05-27 15:12:15.686000, 172.18.0.9, 50416, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.264000, 2018-05-27 15:12:15.482000, 172.18.0.9, 50422, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.280000, 2018-05-27 15:12:15.964000, 172.18.0.9, 50438, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.280000, 2018-05-27 15:12:15.744000, 172.18.0.9, 50414, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.282000, 2018-05-27 15:12:15.642000, 172.18.0.9, 50436, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.285000, 2018-05-27 15:12:16.078000, 172.18.0.9, 50444, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.285000, 2018-05-27 15:12:16.100000, 172.18.0.9, 50450, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.292000, 2018-05-27 15:12:15.732000, 172.18.0.9, 50452, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.293000, 2018-05-27 15:12:15.686000, 172.18.0.9, 50446, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.295000, 2018-05-27 15:12:15.741000, 172.18.0.9, 50440, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.300000, 2018-05-27 15:12:15.807000, 172.18.0.9, 50458, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.302000, 2018-05-27 15:12:16.033000, 172.18.0.9, 50468, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.306000, 2018-05-27 15:12:16.047000, 172.18.0.9, 50472, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.306000, 2018-05-27 15:12:15.812000, 172.18.0.9, 50462, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.307000, 2018-05-27 15:12:15.771000, 172.18.0.9, 50470, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.307000, 2018-05-27 15:12:16.135000, 172.18.0.9, 50460, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.312000, 2018-05-27 15:12:16.065000, 172.18.0.9, 50486, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.312000, 2018-05-27 15:12:16.072000, 172.18.0.9, 50492, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.312000, 2018-05-27 15:12:15.860000, 172.18.0.9, 50496, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.312000, 2018-05-27 15:12:16.175000, 172.18.0.9, 50494, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.312000, 2018-05-27 15:12:15.868000, 172.18.0.9, 50464, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.315000, 2018-05-27 15:12:15.762000, 172.18.0.9, 50490, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.316000, 2018-05-27 15:12:15.959000, 172.18.0.9, 50500, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.323000, 2018-05-27 15:12:16.033000, 172.18.0.9, 50510, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.325000, 2018-05-27 15:12:16.214000, 172.18.0.9, 50518, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.328000, 2018-05-27 15:12:16.208000, 172.18.0.9, 50520, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.329000, 2018-05-27 15:12:15.937000, 172.18.0.9, 50522, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.332000, 2018-05-27 15:12:16.235000, 172.18.0.9, 50526, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.333000, 2018-05-27 15:12:16.179000, 172.18.0.9, 50524, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.333000, 2018-05-27 15:12:16.163000, 172.18.0.9, 50530, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.343000, 2018-05-27 15:12:16.073000, 172.18.0.9, 50540, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.344000, 2018-05-27 15:12:16.143000, 172.18.0.9, 50550, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.344000, 2018-05-27 15:12:16.156000, 172.18.0.9, 50536, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.345000, 2018-05-27 15:12:15.853000, 172.18.0.9, 50556, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.344000, 2018-05-27 15:12:15.958000, 172.18.0.9, 50532, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.348000, 2018-05-27 15:12:16.246000, 172.18.0.9, 50534, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.350000, 2018-05-27 15:12:15.778000, 172.18.0.9, 50546, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.350000, 2018-05-27 15:12:16.147000, 172.18.0.9, 50542, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.349000, 2018-05-27 15:12:16.110000, 172.18.0.9, 50552, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.352000, 2018-05-27 15:12:16.135000, 172.18.0.9, 50538, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.355000, 2018-05-27 15:12:16.046000, 172.18.0.9, 50560, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.355000, 2018-05-27 15:12:16.072000, 172.18.0.9, 50548, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.360000, 2018-05-27 15:12:15.938000, 172.18.0.9, 50562, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.360000, 2018-05-27 15:12:16.244000, 172.18.0.9, 50564, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.396000, 2018-05-27 15:12:16.246000, 172.18.0.9, 50592, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.397000, 2018-05-27 15:12:15.991000, 172.18.0.9, 50598, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.397000, 2018-05-27 15:12:16.172000, 172.18.0.9, 50606, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.398000, 2018-05-27 15:12:16.287000, 172.18.0.9, 50594, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.398000, 2018-05-27 15:12:16.202000, 172.18.0.9, 50590, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.418000, 2018-05-27 15:12:16.072000, 172.18.0.9, 50610, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.398000, 2018-05-27 15:12:16.076000, 172.18.0.9, 50586, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.416000, 2018-05-27 15:12:16.224000, 172.18.0.9, 50608, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.421000, 2018-05-27 15:12:16.213000, 172.18.0.9, 50618, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.422000, 2018-05-27 15:12:16.291000, 172.18.0.9, 50630, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.424000, 2018-05-27 15:12:16.219000, 172.18.0.9, 50632, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.401000, 2018-05-27 15:12:16.238000, 172.18.0.9, 50596, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.401000, 2018-05-27 15:12:16.241000, 172.18.0.9, 50600, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.430000, 2018-05-27 15:12:16.288000, 172.18.0.9, 50636, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.432000, 2018-05-27 15:12:16.250000, 172.18.0.9, 50638, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.435000, 2018-05-27 15:12:16.298000, 172.18.0.9, 50644, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.436000, 2018-05-27 15:12:16.303000, 172.18.0.9, 50664, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.436000, 2018-05-27 15:12:16.301000, 172.18.0.9, 50650, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.434000, 2018-05-27 15:12:16.310000, 172.18.0.9, 50656, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.440000, 2018-05-27 15:12:16.311000, 172.18.0.9, 50662, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.442000, 2018-05-27 15:12:16.306000, 172.18.0.9, 50654, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.444000, 2018-05-27 15:12:16.313000, 172.18.0.9, 50640, GET -> songs-ms/songs, 598b9f73b150:5001
